Tamanho,FuncaoHash,Quantidade,TempoInsercao,TempoBusca,Colisoes,Comparacoes
990,Resto,1000,5377600,1585580,990,254780
990,Multiplicacao,1000,9627000,4861660,990,253540
990,Dobramento,1000,7458100,3527160,990,253080
4990,Resto,5000,8968100,11820220,4990,6274555
4990,Multiplicacao,5000,16451700,18214020,4990,6282070
4990,Dobramento,5000,8700900,11830340,4990,6267830
19990,Resto,20000,197323100,160388240,19990,100067620
19990,Multiplicacao,20000,220496800,226269500,19990,100094765
19990,Dobramento,20000,156052200,155145680,19990,100093330
900,Resto,1000,64100,51020,900,30065
900,Multiplicacao,1000,146900,117100,900,29925
950,Dobramento,1000,160900,153940,950,84330
4900,Resto,5000,1730000,1026640,4900,647980
4900,Multiplicacao,5000,2175500,1534660,4900,652965
4943,Dobramento,5000,2572900,2369960,4943,2046665
19900,Resto,20000,24312300,21392580,19900,10100070
19900,Multiplicacao,20000,28632600,29289840,19900,10093385
19938,Dobramento,20000,60866900,62383120,19938,32432145
369,Resto,1000,56500,30260,369,7485
378,Multiplicacao,1000,146100,88260,378,7535
950,Dobramento,1000,127000,102240,950,84330
4010,Resto,5000,459000,263680,4010,87315
4008,Multiplicacao,5000,759000,489980,4008,87275
4943,Dobramento,5000,1896200,2156320,4943,2046665
19000,Resto,20000,4211000,2959760,19000,1100290
19000,Multiplicacao,20000,5369100,4260240,19000,1097555
19938,Dobramento,20000,73413800,64132540,19938,32432145
